month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
1,1022.2,0.006261005674036,2010,0,0.1,BB
2,1023.3,0.006156552330695,2010,0,0.1,BB
3,1027.4,0.005580429563299,2010,0,0.1,BB
4,1026.4,0.003280072746168,2010,0,0.1,BB
5,1018.733333333,0.004057326091224,2010,0,0.1,BB
6,1007.966666667,0.00155428420252,2010,0,0.1,BB
7,1013.3,0.001184249481891,2010,0,0.1,BB
8,1013.033333333,0.001645223914975,2010,0,0.1,BB
9,1024.7,0.002927686152045,2010,0,0.1,BB
10,1021.833333333,0.00231609851574,2010,0,0.1,BB
11,1023.733333333,0.003874706954936,2010,0,0.1,BB
12,1019.166666667,0.003728536385936,2010,0,0.1,BB
1,1013.6,0.001940278873981,2011,0,0.1,BB
2,1019.133333333,0.0007522731732845,2011,0,0.1,BB
3,1022.4,0.0002608242044862,2011,0,0.1,BB
4,1019.433333333,0.0,2011,0,0.1,BB
5,1025.233333333,0.0,2011,0,0.1,BB
6,1032.966666667,0.0,2011,0,0.1,BB
7,1035.8,0.0,2011,0,0.1,BB
8,1030.6,0.0,2011,0,0.1,BB
9,1029.666666667,0.0,2011,0,0.1,BB
10,1033.066666667,0.0,2011,0,0.1,BB
11,1031.2,0.0,2011,0,0.1,BB
12,1030.6,0.0006145287534769,2011,0,0.1,BB
1,1027.933333333,0.0004539853427589,2012,0,0.1,BB
2,1033.766666667,0.0,2012,0,0.1,BB
3,1038.6,0.0,2012,0,0.1,BB
4,1031.2,0.0,2012,0,0.1,BB
5,1038.266666667,0.0,2012,0,0.1,BB
6,1040.233333333,0.0,2012,0,0.1,BB
7,1040.133333333,0.0,2012,0,0.1,BB
8,1051.233333333,0.0,2012,0,0.1,BB
9,1051.933333333,0.0,2012,0,0.1,BB
10,1048.266666667,0.0,2012,0,0.1,BB
11,1047.3,0.0,2012,0,0.1,BB
12,1046.866666667,0.0,2012,0,0.1,BB
1,1048.433333333,0.0,2013,0,0.1,BB
2,1050.9,0.0,2013,0,0.1,BB
3,1042.033333333,0.0,2013,0,0.1,BB
4,1039.7,0.0,2013,0,0.1,BB
5,1037.4,0.0,2013,0,0.1,BB
6,1039.466666667,0.0,2013,0,0.1,BB
7,1042.666666667,0.0,2013,0,0.1,BB
8,1049.066666667,0.0,2013,0,0.1,BB
9,1049.633333333,0.0,2013,0,0.1,BB
10,1043.633333333,0.0,2013,0,0.1,BB
11,1042.433333333,0.0,2013,0,0.1,BB
12,1044.533333333,0.0,2013,0,0.1,BB
1,1037.633333333,0.0,2014,0,0.1,BB
2,1037.633333333,0.0,2014,0,0.1,BB
3,1031.766666667,0.0,2014,0,0.1,BB
4,1021.8,0.0,2014,0,0.1,BB
5,1023.833333333,0.0,2014,0,0.1,BB
6,1030.333333333,0.0,2014,0,0.1,BB
7,1031.033333333,0.0,2014,0,0.1,BB
8,1031.166666667,0.0,2014,0,0.1,BB
9,1039.1,0.0,2014,0,0.1,BB
10,1035.1,0.0,2014,0,0.1,BB
11,1036.8,0.0,2014,0,0.1,BB
12,1039.4,0.0,2014,0,0.1,BB
1,1043.066666667,0.0,2015,0,0.1,BB
2,1037.533333333,0.0,2015,0,0.1,BB
3,1030.133333333,0.0,2015,0,0.1,BB
4,1035.4,0.0,2015,0,0.1,BB
5,1033.4,0.0,2015,0,0.1,BB
